Usuario;Nombre;mail;userType;jobTitle;country;city;postalCode;telephoneNumber
administrator@landonhotel.com;administrator;administrator@landonhotel.com;Member;Administrative Assistant;Ecuador;Quito;;
alandrade@landonhotel.com;Ana Lucía Andrade;alandrade@landonhotel.com;Member;Chef;Ecuador;Quito;170150;596 2 989 98x2
assets@landonhotel.com;assets;assets@landonhotel.com;Member;Administrative Assistant;Ecuador;Quito;;
bfalk@landonhotel.com;Beatrice Falk;bfalk@landonhotel.com;Member;Eventmanager;Austria;Wien;1010;01 023432 51
bbaron@landonhotel.com;Bertrand Baron;bbaron@landonhotel.com;Member;Financial Management;France;Paris;75005;01 42 517 85x
bgrandpre@landonhotel.com;Blanche Grandpré;bgrandpre@landonhotel.com;Member;Events Manager;France;Paris;75005;01 42 517 85x
cdhall@landonhotel.com;C Dhall;cdhall@landonhotel.com;Member;Events Manager;EEUU;Carpintería;;
cecilia@landonhotel.com;Cecilia Forteau;cecilia@landonhotel.com;Member;Events Manager;EEUU;Carpintería;93013;8057551477
czambrano@landonhotel.com;Cecilia Zambrano;czambrano@landonhotel.com;Member;Events Manager;Ecuador;Quito;170150;593 2 989 98x3
chong@landonhotel.com;Chong Nuan;chong@landonhotel.com;Member;Food and Beverage Director;EEUU;Miami;;
dlandon@landonhotel.com;Dahlia Landon;dlandon@landonhotel.com;Member;employee;EEUU;Miami;;
dave@landonhotel.com;Dave Crenshaw;dave@landonhotel.com;Member;employee;EEUU;Miami;;
dtaylor@landonhotel.com;Dennis Taylor;dtaylor@landonhotel.com;Member;employee;EEUU;Miami;;
fboileu@landonhotel.com;Fabrice Boileu;fboileu@landonhotel.com;Member;Recepcionist Manager;France;Paris;75005;01 42 517 85x
fansu@landonhotel.com;Fan Su;fansu@landonhotel.com;Member;employee;Madrid;España;;
fbriard@landonhotel.com;Fatima Briard;fbriard@landonhotel.com;Member;Recepcionist Manager;France;Paris;75005;01 42 517 85x
ggarreau@landonhotel.com;Gaetane Garreau;ggarreau@landonhotel.com;Member;Chef;France;Paris;75005;01 42 517 85x
gchow@landonhotel.com;Garrick Chow;gchow@landonhotel.com;Member;employee;Madrid;España;;
Gini@landonhotel.com;Gini von Courter;Gini@landonhotel.com;Member;employee;Madrid;España;;
hwandaleere@landonhotel.com;Harold Wandaleere;hwandaleere@landonhotel.com;Member;employee;Madrid;España;;02x 1234 1237
mccaleb@landonhotel.com;James E McCaleb;mccaleb@landonhotel.com;Member;employee;Ecuador;Quito;;
jdawson@landonhotel.com;Jennifer Dawson;jdawson@landonhotel.com;Member;General Manager;Ecuador;Quito;;
Jess@landonhotel.com;Jess Stratton;Jess@landonhotel.com;Member;employee;Ecuador;Quito;;
jonathan@landonhotel.com;Jonathan Perfington;jonathan@landonhotel.com;Member;Director of Sales;Ecuador;Quito;;
jlsanchez@landonhotel.com;Jorge Luis Sánchez;jlsanchez@landonhotel.com;Member;Financial Management;Ecuador;Quito;170150;593 2 989 98x4
jctorres@landonhotel.com;Juan Carlos Torres;jctorres@landonhotel.com;Member;Recepcionist Manager;Ecuador;Quito;170150;595 2 989 98x1
jkaplan@landonhotel.com;Julian Kaplan;jkaplan@landonhotel.com;Member;Rezeptionist Manager;Austria;Wien;1010;01 023432 31
jschweiger@landonhotel.com;Julian Schweiger;jschweiger@landonhotel.com;Member;Finanzmanagement;Austria;Wien;1010;01 023432 20
jsheets@landonhotel.com;Julie Sheets;jsheets@landonhotel.com;Member;employee;Austria;Wien;;
kwinkler@landonhotel.com;Karin Winkler;kwinkler@landonhotel.com;Member;Chef;Austria;Wien;1010;01 023432 82
kbrahm@landonhotel.com;Konstanin Brahm;kbrahm@landonhotel.com;Member;Restaurantmanager;Austria;Wien;1010;01 023432 81
leslie@landonhotel.com;Leslie Richardson;leslie@landonhotel.com;Member;Administrative Assistant;Argentina;Caracas;;
msalazar@landonhotel.com;Mariana Salazar;msalazar@landonhotel.com;Member;Recepcionist Manager;Ecuador;Quito;170150;594 2 989 98x1
mtristener@landonhotel.com;Mark Tristener;mtristener@landonhotel.com;Member;Executive Chef;Ecuador;Quito;;02x  1234 1235
meetingrooma@landonhotel.com;Meeting Room A;meetingrooma@landonhotel.com;Member;employee;Ecuador;Quito;;
mvera@landonhotel.com;Miguel Ángel Vera;mvera@landonhotel.com;Member;Restaurant manager;Ecuador;Quito;170150;597 2 989 98x2
nbrazzi@landonhotel.com;Nick Brazzi;nbrazzi@landonhotel.com;Member;employee;France;Paris;;
ndevost@landonhotel.com;Nicolas Devost;ndevost@landonhotel.com;Member;Restaurant manager;France;Paris;75005;01 42 517 85x
PeluqueraCanina1@landonhotel.com;Peluquería Canina;PeluqueraCanina1@landonhotel.com;Member;employee;France;Paris;;
philipransu_gmail.com#EXT#@landonhotel.onmicrosoft.com;philipransu;philipransu@gmail.com;Guest;employee;France;Paris;;
plucero@landonhotel.com;Phyllis Lucero;plucero@landonhotel.com;Member;Director of Catering;Argentina;Caracas;;206 555 1238
protech_david_sina.com#EXT#@landonhotel.onmicrosoft.com;protech_david@sina.com;protech_david@sina.com;Guest;employee;Madrid;España;;
ryoshida@landonhotel.com;Rika Yoshida;ryoshida@landonhotel.com;Member;employee;Madrid;España;;
sdulnar@landonhotel.com;Safeek Dulnar;sdulnar@landonhotel.onmicrosoft.com;Member;Human Resources Director;Madrid;España;;
snguyen@landonhotel.com;Steve Nguyen;snguyen@landonhotel.com;Member;employee;Madrid;España;;
ssomers@landonhotel.com;Steve Somers;ssomers@landonhotel.com;Member;employee;Madrid;España;;620-555-2575
sfalkenberg@landonhotel.com;Sven Falkenberg;sfalkenberg@landonhotel.com;Member;Rezeptionist Manager;Austria;Wien;1010;01 023432 32
tammy@landonhotel.com;Tammy Marley-Cox;tammy@landonhotel.com;Member;Catering Assistant;México;Ciudad de México;;
victor@landonhotel.com;Victor Embargello;victor@landonhotel.com;Member;employee;México;Ciudad de México;;
vliu@landonhotel.com;Vivian Liu;vliu@landonhotel.com;Member;employee;México;Ciudad de México;;
kito@landonhotel.com;kito;kito@landonhotel.com;Member;employee;México;Ciudad de México;;
huibinzhang@landonhotel.com;huibinzhang;huibinzhang@landonhotel.com;Member;employee;México;Ciudad de México;;
ksato@landonhotel.com;ksato;ksato@landonhotel.com;Member;employee;México;Ciudad de México;;
Junzhe.L@landonhotel.com;Junzhe.L;Junzhe.L@landonhotel.com;Member;Catering Assistant;México;Ciudad de México;;
